End of Year,Total Membership,Children of Record,Baptisms of Children of Record,Convert Baptisms,Total Baptisms,Convert Children of Record,Births to Active Members,Mormon Birth Rate,Mormon Death Rate,Mormon Life Expectancy,Birth Rate (Fractional),Children per Woman,Female/Male Ratio,Stakes,Districts,Missions,Wards and Branches,Wards and Branches in Stakes,Branches,Wards,Branches in Stakes,Branches in Missions,Members in Stakes,Members in Missions,Members per Ward,Sunday School Attendance,Full Time Missionaries,New Missionaries,Average Mission Length (years),New Senior Missionaries,New Male Missionaries,New Female Missionaries,Total Senior Missionaries,Total Male Missionaries,Total Female Missionaries,15 Y/O,16 Y/O,17 Y/O,18 Y/O,19 Y/O,Seminary Enrollment,Activity by Births,Activity by Ward Size,Activity by Stake Size,Activity by Sunday School Attendance,Activity by Missionaries,Activity by Seminary Enrollment,Activity Rate,Gone Inactive,Active Mormons,Inactive Mormons,Deaths of Active Members,Inactives who reach Age 110,Record Adjustments,"Names Removed
Raw",Manual Corrections,Cumulative Corrections,Names Removed,Former Mormons
1976,"3,742,749","88,522","52,281","133,959","186,240","15,686","72,836",29.72,4.32,72.95,1.02972,4.29,0.5049,798,,148,"8,325","6,903","2,844","5,481","1,422","1,422","3,283,264","459,485",528,,"25,111","13,928",1.77,739,"10,617","2,572","1,239","20,172","3,700","63,943","68,411","69,856","69,707","68,570","183,670",67,33.1,32.8,,31.8,67.5,33.1,"132,222","1,238,850","2,503,899","5,230","5,281",,"5,182","-4,707","43,030",475,"17,360"
1977,"3,969,220","95,000","62,000","167,939","229,939","19,665","75,335",31.66,4.14,73.35,1.03166,4.6,0.5047,885,,157,"9,180","7,466","3,263","5,917","1,549","1,694","3,486,430","482,790",519,,"25,300","14,561",1.81,"1,153","10,793","2,615","1,338","20,269","3,693","65,081","66,176","70,645","72,090","71,940","191,236",61.7,33.7,34.3,,31,69.8,33.7,"158,782","1,337,627","2,631,593","5,380","5,372",,"-7,284","7,785","50,815",501,"17,789"
1978,"4,166,854","97,000","63,000","152,000","215,000","17,799","79,201",30.7,4.1,73.45,1.0307,4.47,0.5045,990,,166,"9,854","8,064","3,123","6,731","1,333","1,790","3,656,704","510,150",493,,"27,669","15,860",1.81,"1,191","11,809","2,860","1,479","22,113","4,077","64,646","67,103","68,198","72,666","74,111","192,466",63.4,35.5,36.5,,32.6,70.6,35.5,"101,473","1,479,233","2,687,621","5,921","5,410",,"6,035","-5,506","45,309",529,"18,245"
1979,"4,404,121","107,000","67,000","193,000","260,000","22,600","84,400",30,4.2,73.9,1.03,4.4,0.5043,"1,092",,175,"10,486","9,365","3,251","7,235","2,130","2,121","3,799,636","604,485",456,,"29,454","16,590",1.8,"1,393","12,233","2,964","1,691","23,473","4,290","67,550","67,213","69,669","70,765","75,233","195,883",65.6,38.4,38.8,,33,71.2,38.4,"81,139","1,691,182","2,712,939","6,912","5,357",,"10,464","-9,907","35,403",557,"18,725"
1980,"4,639,822","103,000","65,000","221,000","286,000","25,879","77,121",28.2,3.9,73.7,1.0282,4.12,0.5041,"1,218",,188,"12,591","10,324","4,723","7,868","2,456","2,267","3,993,727","646,095",437,,"29,953","16,600",1.72,"1,508","12,149","2,943","1,856","23,781","4,316","75,153","70,490","70,152","72,609","73,704","187,906",60.5,40,41.2,,32.9,65.2,40,"152,199","1,855,929","2,783,893","7,054","5,359",,"37,886","-37,298","-1,896",588,"19,239"
1981,"4,920,449","111,000","69,000","224,000","293,000","26,230","84,770",28.1,3.9,74.1,1.0281,4.13,0.504,"1,321",342,186,"13,093","11,063","4,701","8,392","2,719","2,030","4,341,899","578,550",443,,"29,700","17,800",1.45,"1,567","13,067","3,166","1,944","23,444","4,312","68,234","78,133","73,469","73,131","75,588","191,466",63.1,39.5,41.1,,35.3,65.4,39.5,"239,988","1,943,577","2,976,872","7,364","5,610",,-601,"1,222",-673,621,"19,784"
1982,"5,162,619","124,000","67,000","207,000","274,000","24,239","99,761",28.1,3.9,74.45,1.0281,4.15,0.5039,"1,392",336,180,"13,471","11,492","4,583","8,888","2,699","1,979","4,598,604","564,015",447,,"26,300","18,260",1.39,"1,627","13,389","3,244","2,019","20,535","3,746","76,404","70,987","80,886","76,222","75,884","191,623",70.4,39.1,40.9,,35.6,62.9,39.1,"248,305","2,018,584","3,144,035","7,688","5,865",,"18,277","-17,622","-18,295",655,"20,361"
1983,"5,351,724","112,000","69,000","189,419","258,419","22,180","89,820",24.5,4,74.55,1.0245,3.62,0.5039,"1,458",343,177,"13,943","11,953","4,614","9,329","2,641","1,991","4,784,289","567,435",447,,"26,565","19,450",1.41,"1,686","14,300","3,464","2,093","20,675","3,797","79,540","78,923","73,506","83,405","78,741","195,475",69.7,39.1,41.1,,37.3,62,39.1,"219,257","2,092,524","3,259,200","8,222","6,051",,"55,041","-54,358","-72,654",683,"20,962"
1984,"5,641,054","98,000","69,000","192,983","261,983","22,598","75,402",23.6,4.3,74.65,1.0236,3.5,0.5038,"1,507",353,180,"14,468","12,422","4,745","9,723","2,697","2,046","5,057,944","583,110",455,,"27,655","19,720",1.48,"1,750","14,465","3,505","2,172","21,558","3,925","84,768","82,107","81,490","76,073","85,972","205,616",58.1,38.5,40.2,,35.4,63.4,38.5,"202,602","2,171,806","3,469,248","9,099","6,301",,"-42,747","43,462","-29,192",715,"21,586"
1985,"5,919,483","95,000","70,000","197,640","267,640","23,143","71,857",22.8,4.5,74.65,1.0228,3.38,0.5037,"1,582",352,188,"15,007","12,939","4,839","10,168","2,766","2,068","5,330,103","589,380",459,,"29,265","19,890",1.55,"1,817","14,548","3,525","2,255","22,853","4,157","89,397","87,396","84,735","84,118","78,702","214,963",54.5,38.1,40.1,,35.6,62.2,38.1,"199,213","2,255,323","3,664,160","9,910","6,530",,"-27,229","27,980","-1,212",751,"22,239"
1986,"6,166,974","93,000","72,000","216,210","288,210","25,318","67,682",21.9,4.6,74.7,1.0219,3.25,0.5036,"1,622",346,193,"15,382","13,318","4,855","10,527","2,792","2,064","5,578,734","588,240",466,,"31,803","20,798",1.66,"1,865","15,241","3,692","2,319","24,921","4,563","93,482","92,273","90,272","87,611","86,994","225,709",51.1,37.6,39.3,,37.1,62.1,37.6,"235,299","2,318,782","3,848,192","10,452","6,823",,"23,444","-22,658","-23,870",786,"22,922"
1987,"6,394,314","99,000","75,000","227,284","302,284","26,614","72,386",21,4.8,74.85,1.021,3.12,0.5035,"1,666",379,205,"16,034","13,727","5,127","10,907","2,812","2,307","5,736,819","657,495",464,,"34,750","21,001",1.64,"1,945","15,340","3,716","2,411","27,362","4,977","95,673","96,505","95,296","93,295","90,634","238,778",54.9,37.7,39.2,,34.8,62.7,37.7,"223,045","2,410,656","3,983,658","11,365","7,066",,"56,513","-55,697","-79,567",816,"23,627"
1988,"6,721,210","106,857","73,000","256,515","329,515","30,037","76,820",21.3,4.8,74.85,1.0213,3.17,0.5035,"1,707",402,222,"16,539","14,069","5,343","11,196","2,899","2,470","6,017,260","703,950",474,,"36,132","22,619",1.62,"1,994","16,603","4,022","2,480","28,420","5,232","98,334","99,084","99,917","98,707","96,707","242,435",55,36.9,38.3,,35.7,61.2,36.9,"282,287","2,480,126","4,241,084","11,615","7,546",,"-16,542","17,395","-62,172",853,"24,366"
1989,"7,308,444","106,980","75,000","318,940","393,940","37,347","69,633",19,4.7,75.1,1.019,2.83,0.5034,"1,739",432,228,"17,284","14,533","5,769","11,536","3,018","2,751","6,524,409","784,035",498,,"39,739","25,609",1.68,"2,067","18,952","4,590","2,565","31,353","5,821","107,044","102,576","103,326","104,158","102,949","255,360",52.2,35.1,36,,38.2,61.2,35.1,"329,210","2,565,264","4,743,180","11,572","8,128","155,478","-25,536","62,172",0,"36,636","60,887"
1990,"7,761,207","110,328","78,000","330,877","408,877","38,745","71,583",21,4.5,75.3,1.021,3.14,0.5033,"1,784",479,256,"18,082","15,003","6,222","11,860","3,143","3,079","6,883,692","877,515",510,,"43,651","26,255",1.71,"2,145","19,408","4,702","2,662","34,666","6,323","114,627","111,444","106,977","107,727","108,559","274,184",45.2,34.3,35,,36.9,62.2,34.3,"332,745","2,662,094","5,099,113","11,630","8,513","100,000","68,299",,,"68,299","128,912"
1991,"8,089,848","115,359","75,000","297,770","372,770","34,868","80,491",20.2,4.5,75.45,1.0202,3.03,0.5029,"1,837",527,267,"18,838","15,513","6,654","12,184","3,329","3,325","7,142,223","947,625",513,,"43,395","24,861",1.7,"2,223","18,224","4,414","2,759","34,444","6,192","121,729","118,587","115,405","110,937","111,687","290,304",50.3,34.1,34.7,,33.3,62.2,34.1,"304,423","2,758,638","5,331,210","12,162","8,710",,"63,616",,,"63,616","191,947"
1992,"8,404,087","109,362","77,380","274,477","351,857","32,141","77,221",20.2,4.5,75.7,1.0202,3.04,0.5024,"1,919",601,276,"20,112","16,292","7,392","12,720","3,572","3,819","7,315,672","1,088,415",502,,"46,025","28,716",1.69,"2,377","21,203","5,136","2,933","36,327","6,765","126,176","125,380","122,238","119,055","114,588","303,736",46.4,34.9,35.4,,37.7,61.6,34.9,"196,499","2,933,026","5,471,061","12,952","8,746",,"47,902",,,"47,902","238,985"
1993,"8,689,168","101,057","76,312","304,808","381,120","35,693","65,364",19.6,4.5,75.5,1.0196,2.95,0.502,"1,968",647,295,"21,099","17,048","7,844","13,255","3,793","4,051","7,534,633","1,154,535",495,,"48,708","28,774",1.67,"2,482","21,165","5,127","3,076","38,618","7,014","131,902","130,230","129,434","126,292","123,109","323,720",39,35.4,35.3,,35.8,62.5,35.4,"249,311","3,075,965","5,613,203","13,615","8,813",,"98,356",,,"98,356","336,265"
1994,"9,024,368","112,671","72,538","300,730","373,268","35,215","77,456",19.7,4.5,75.65,1.0197,2.97,0.5015,"2,008",709,303,"21,832","17,521","8,036","13,796","3,725","4,311","7,795,733","1,228,635",496,,"47,311","27,912",1.7,"2,566","20,404","4,942","3,186","37,376","6,749","139,165","135,902","134,230","133,433","130,292","342,136",44.4,35.3,34.8,,32.3,63,35.3,"289,695","3,185,602","5,838,766","14,069","8,984",,"55,149",,,"55,149","389,900"
1995,"9,338,397","133,865","71,139","304,330","375,469","35,637","98,228",19.8,4.6,75.7,1.0198,2.99,0.5011,"2,150",699,307,"22,673","18,396","8,337","14,336","4,060","4,277","8,119,452","1,218,945",494,,"48,631","29,015",1.75,"2,665","21,212","5,138","3,306","38,318","7,007","133,412","143,213","139,949","138,277","137,481","355,587",54,35.4,35.7,,31.8,64.1,35.4,"303,053","3,305,793","6,032,604","14,951","9,102",,"100,113",,,"100,113","488,219"
1996,"9,692,441","136,954","81,017","321,385","402,402","37,634","99,320",20.6,4.4,76.1,1.0206,3.13,0.5007,"2,296",671,309,"23,516","19,522","8,009","15,507","4,015","3,994","8,554,151","1,138,290",486,,"52,938","31,227",1.73,"2,823","22,865","5,539","3,489","41,766","7,683","142,444","137,687","147,487","144,224","142,552","363,202",50.7,36,36.2,,32.7,63.5,36,"259,781","3,489,279","6,203,162","15,072","9,079",,"80,144",,,"80,144","566,214"
1997,"10,071,783","130,257","75,214","317,798","393,012","37,214","93,043",20.5,4.4,76.5,1.0205,3.14,0.5002,"2,424",649,318,"24,697","20,776","8,019","16,678","4,098","3,923","8,953,728","1,118,055",476,,"56,531","33,726",1.73,"3,000","24,734","5,992","3,706","44,613","8,212","158,809","146,671","141,914","151,714","148,450","371,884",45.9,36.8,36.5,,34,62.1,36.8,"214,917","3,706,416","6,365,367","16,001","9,068",,"43,644",,,"43,644","607,367"
1998,"10,404,448","128,936","76,829","299,134","375,963","35,028","93,908",21.1,4.4,76.65,1.0211,3.24,0.4998,"2,505",631,331,"25,553","21,649","8,364","17,189","4,460","3,904","9,291,808","1,112,640",477,,"57,853","33,229",1.74,"3,068","24,280","5,881","3,818","45,749","8,286","150,259","162,788","150,649","145,892","155,692","377,436",43.5,36.7,36.4,,31.9,61.9,36.7,"299,521","3,818,432","6,586,016","16,533","9,242",,"69,630",,,"69,630","674,324"
1999,"10,752,984","128,128","84,118","306,171","390,289","35,852","92,276",21.1,4.4,77.5,1.0211,3.28,0.4993,"2,542",636,333,"25,793","21,897","8,094","17,699","4,198","3,896","9,642,624","1,110,360",485,,"58,593","33,915",1.77,"3,115","24,794","6,006","3,882","46,275","8,436","137,539","154,332","166,860","154,721","149,964","373,887",41.3,36.1,35.6,,32.4,60.9,36.1,"354,101","3,881,827","6,871,157","16,803","9,400",,"59,560",,,"59,560","730,916"
2000,"11,068,861","127,614","81,450","273,973","355,423","32,082","95,532",21.1,4.3,78.4,1.0211,3.32,0.4989,"2,581",621,334,"25,915","22,071","7,921","17,994","4,077","3,844","9,973,321","1,095,540",496,,"60,784","34,503",1.76,"3,128","25,257","6,118","3,907","48,110","8,767","135,180","141,183","157,975","170,504","158,365","381,758",41.5,35.3,34.9,,32.7,63.1,35.3,"359,544","3,907,308","7,161,553","16,562","9,565",,"59,583",,,"59,583","787,356"
